shortname,question_title,type,page,place
os_devenv,On which operating systems are your development environments?,CHECKBOX,3,5
mobile_target_os,For which mobile operating systems do you develop?,CHECKBOX,42,1
proglang,What programming languages have you used in the last 12 months?,CHECKBOX,7,2
tools_vcs,"Which Version Control systems do you regularly use, if any?",CHECKBOX,17,4
contribute_os,Do you contribute to open-source projects?,RADIO,51,4
hours_code_job,How many hours a week do you spend coding for your day job (or primary activity)?,RADIO,51,2
tools_adopted,Which of the following kinds of tools have you / your team <strong>adopted</strong> in the past 12 months?,CHECKBOX,18,1
unittests_how,How do you do unit testing in your projects?,RADIO,13,3
team_size,How many people are in your project team?,RADIO,59,1
team_distributed,How is your team distributed?,RADIO,59,4
java_version,Which versions of <u>Java</u> do you regularly use?,CHECKBOX,40,2
java_app_server,"What application servers do you regularly use, if any?",CHECKBOX,40,3
java_app_frameworks,"Which frameworks do you use as an alternative to an application server, if any?",CHECKBOX,40,4
java_package,How do you package your web applications?,CHECKBOX,40,5
java_web_frameworks,"What web frameworks do you use, if any?",CHECKBOX,40,7
java_buildsystem,"Which build systems do you regularly use, if any?",CHECKBOX,40,8
company_size,How many people work for your company / organization?,RADIO,58,1
job_role,Which of the following best describes your job role regardless of the level of your position?,CHECKBOX,3,3
age_range,Could you tell us your age range?,RADIO,4,4
adopt_proglang,"Do you plan to adopt / migrate to other languages in the next 12 months? If so, to which ones? ",CHECKBOX,10,2
cloud_services,Which cloud services do you use? ,CHECKBOX,48,3
tools_cloud,Do you use any of the following tools in the cloud?,CHECKBOX,18,4
where_sources,Where do you keep your source code?,CHECKBOX,18,5
java_ee,"Which versions of Java Enterprise specifications do you regularly use, if any?",CHECKBOX,40,9
java_profiler,"Which JVM profilers do you regularly use, if any?",CHECKBOX,40,10
java_ide,Which IDE / editor do you use the most for Java development? ,RADIO,40,11
c_standart,Which <u>C</u> standard do you regularly use?,CHECKBOX,19,2
c_ide,Which IDE / editor do you use the most for C development?,RADIO,19,3
c_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,19,4
c_projectmodels,"Which project models or build systems do you regularly use, if any?",CHECKBOX,19,5
c_compilers,Which compilers do you regularly use?,CHECKBOX,19,7
cpp_standart,Which <u>C++</u> standards do you regularly use?,CHECKBOX,20,2
cpp_ide,Which IDE / editor do you use the most for C++ development?,RADIO,20,9
cpp_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,20,11
cpp_projectmodels,"Which project models or build systems do you regularly use, if any?",CHECKBOX,20,14
cpp_compilers,Which compilers do you regularly use?,CHECKBOX,20,15
cpp_cli,Do you use C++ / CLI ?,RADIO,20,8
cpp_project_size,What is the typical size and complexity of your project(s)?,RADIO,20,20
python_vesion,Which version of <u>Python</u> do you use the most? ,RADIO,21,2
python_ide,Which IDE / editor do you mostly use for Python development?,RADIO,21,8
csharp_version,What versions of <u>C#</u> do you regularly use?,CHECKBOX,22,2
csharp_runtimes,What runtimes do you regularly use?,CHECKBOX,22,4
csharp_frameworks,"Which technologies / frameworks do you use, if any? ",CHECKBOX,22,5
csharp_ide,Which IDE / editor do you mostly use for C# development?,RADIO,22,6
csharp_vsversion,What version of Visual Studio do you use the most?,RADIO,22,10
csharp_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,22,13
csharp_performance,"What performance or diagnostic tools do you regularly use, if any?",CHECKBOX,22,14
php_version,Which version of <u>PHP</u> do you regularly use? ,CHECKBOX,23,2
php_devenviron,Which PHP development environments do you regularly use?,CHECKBOX,23,3
php_ide,Which editor / IDE do you mostly use for PHP development?,RADIO,23,8
php_testing,"Which testing frameworks do you regularly use, if any?",CHECKBOX,23,9
js_frameworks,"What <u>JavaScript</u> frameworks do you regularly use, if any?",CHECKBOX,30,2
js_ide,What editor / IDE do you mostly use?,RADIO,30,3
js_unittesting,"Which unit-testing frameworks / tools do you regularly use, if any? ",CHECKBOX,30,4
js_moduleloader,"What module loaders do you regularly use, if any?",CHECKBOX,30,5
ruby_version,Which versions of <u>Ruby</u> do you use <u>the most</u>?,CHECKBOX,25,2
ruby_gemmanagement,"Which gem management tools do you regularly use, if any?",CHECKBOX,25,5
ruby_gems_count,"How many gems have you authored, if any?",RADIO,25,6
ruby_frameworks,"What web development tools and / or frameworks do you regularly use, if any? ",CHECKBOX,25,7
ruby_rails_version,Which version of Rails do you use?,RADIO,25,8
ruby_servers,"Which servers do you regularly use in production, if any?",CHECKBOX,26,2
ruby_ide,What editor / IDE do you mostly use for Ruby development?,RADIO,26,3
ruby_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,26,4
swiftoc_unittesting,"Which unit-testing frameworks do you regularly use, if any? ",CHECKBOX,27,7
swiftoc_ui_tests,Do you use UI tests?,RADIO,27,9
swiftoc_dependecymanager,"Which dependency manager do you use, if any? ",CHECKBOX,27,11
swiftoc_db_engine,Which database engine / framework combination do you use? ,CHECKBOX,27,13
swiftoc_linux,Do you develop with Swift on Linux?,RADIO,27,16
sql_tool,Which tools do you regularly use for working with databases?,CHECKBOX,39,2
use_static_analysis,Do you use static analysis?,RADIO,51,1
regularly_tools,Which of the following tools do you regularly use?,CHECKBOX,14,1
ruby_rails_version_migrate,"Do you plan to move to a newer <u>Rails</u> version in the next 12 months? If so, to which one?",RADIO,26,1
scala_java_version,Which versions of <u>Java</u> do you regularly use?,CHECKBOX,28,4
scala_frameworks_web,"Which frameworks / libraries do you regularly use <u><strong>for web-development</strong></u>, if any?",CHECKBOX,28,6
scala_ide,What editors / IDEs do you use most for Scala?,RADIO,28,8
scala_buildsystem,"Which build systems do you regularly use, if any?",CHECKBOX,29,2
scala_macros,Do you have macros in your project?,RADIO,29,6
target_os,Which platforms do you target with your projects?,CHECKBOX,3,9
php_frameworks,"Which PHP frameworks and platforms do you regularly use, if any?",CHECKBOX,23,5
